,Recency,Frequency,AOV,PredictedLTV,Segment
101,7,18,409.7661111111111,7364.638,High
102,44,1,723.38,693.034,Mid-High
103,6,11,619.6745454545454,7015.0566,High
104,13,6,2203.29,13266.919,High
105,1,1,527.2,497.2767,Mid-Low
106,18,4,820.4075,3292.1775,High
107,13,10,559.632,5598.2764,High
108,7,8,310.6225,2475.4343,High
109,23,6,756.9533333333334,4481.5107,High
110,30,2,383.725,774.87164,Mid-High
111,326,1,334.93,331.7072,Mid-Low
112,8,9,550.6255555555556,4962.9507,High
113,29,1,460.40000000000003,455.79715,Mid-Low
114,53,2,131.60500000000002,272.8733,Low
115,156,2,216.87,439.94128,Mid-Low
116,6,7,178.01428571428573,1216.9933,Mid-High
117,72,1,1043.1,1010.89386,Mid-High
118,11,3,134.5666666666667,418.92178,Mid-Low
119,13,11,387.07454545454544,4266.6465,High
120,327,1,2169.39,1998.9331,High
121,86,5,744.774,3710.5498,High
122,8,2,241.02499999999998,491.94943,Mid-Low
123,223,1,73.5,70.56797,Low
124,124,3,434.93666666666667,1323.2231,Mid-High
125,16,2,199.135,401.45758,Mid-Low
126,274,1,176.5,180.56056,Low
127,133,2,491.28499999999997,987.2138,Mid-High
128,56,2,69.015,140.20209,Low
129,103,1,612.29,626.4542,Mid-Low
130,257,1,1017.68,1022.28845,Mid-High
131,343,1,383.7,383.0781,Mid-Low
132,68,2,656.03,1295.593,Mid-High
133,18,5,500.56800000000004,2515.2388,High
134,19,4,429.4375,1708.0187,High
135,54,1,340.84,338.73077,Mid-Low
136,69,5,526.8520000000001,2651.1987,High
137,133,1,599.68,602.1385,Mid-Low
138,29,2,96.36,194.51901,Low
139,9,11,162.70636363636365,1708.8264,High
140,54,7,596.8457142857143,4106.936,High
141,44,2,519.79,1070.9476,Mid-High
142,72,3,116.23666666666668,353.68344,Mid-Low
143,54,5,312.37600000000003,1554.9155,Mid-High
144,50,4,415.57,1624.6758,High
145,5,1,125.22,123.58801,Low
146,20,1,349.83000000000004,346.17438,Mid-Low
147,121,1,1089.18,1092.4177,Mid-High
148,82,2,358.175,725.8058,Mid-High
149,33,3,4200.610000000001,13330.815,High
150,19,1,363.95,354.3082,Mid-Low
151,12,4,1392.0875,5774.3047,High
152,10,17,788.2494117647059,15465.258,High
153,20,3,327.06,959.3491,Mid-High
154,26,1,372.7,375.77762,Mid-Low
155,65,2,500.195,994.2244,Mid-High
156,37,2,580.75,1168.6475,Mid-High
157,188,2,103.89999999999999,199.62637,Low
158,156,1,95.19999999999999,99.45371,Low
159,69,1,964.83,964.39606,Mid-High
160,348,1,168.0,177.02481,Low
161,29,2,218.91,440.4977,Mid-Low
162,15,9,379.47333333333336,3409.435,High
163,40,2,301.855,601.4109,Mid-Low
164,6,5,2398.192,11957.746,High
165,301,2,280.855,571.67065,Mid-Low
166,102,2,718.155,1358.1635,Mid-High
167,293,1,238.85,241.8767,Low
168,13,6,521.2283333333334,3104.0671,High
169,251,1,456.9,455.24072,Mid-Low
170,279,1,145.92,151.41983,Low
171,76,1,351.65,350.68158,Mid-Low
172,13,10,940.128,9411.635,High
173,6,26,131.91038461538463,3426.9934,High
174,30,2,259.805,513.1122,Mid-Low
175,42,1,532.74,518.39545,Mid-Low
176,217,1,160.54000000000002,160.5327,Low
177,306,1,218.45,210.53699,Low
178,26,5,263.166,1282.9513,Mid-High
179,25,3,219.26666666666665,669.69635,Mid-High
180,11,2,1397.255,2794.0503,High
181,68,1,440.42,433.2486,Mid-Low
182,237,1,415.7,417.1648,Mid-Low
183,30,1,197.71,195.83467,Low
184,229,2,255.68,502.4687,Mid-Low
185,9,14,470.47214285714284,6571.1953,High
186,8,8,267.21250000000003,2090.8826,High
187,224,2,1020.05,1998.5494,High
188,7,1,196.94000000000003,195.69182,Low
189,29,1,214.89999999999998,211.0934,Low
190,19,2,323.34,637.9717,Mid-Low
191,201,2,4932.13,9899.88,High
192,307,1,452.84999999999997,455.24072,Mid-Low
193,82,2,218.8,440.6264,Mid-Low
194,99,3,139.36666666666665,422.66718,Mid-Low
195,28,10,333.822,3338.3142,High
196,41,2,309.135,617.926,Mid-Low
197,9,4,952.805,3766.976,High
198,10,7,408.4614285714286,2921.7598,High
199,19,7,147.51142857142855,1017.7302,Mid-High
200,19,10,259.904,2657.004,High
201,180,5,115.412,571.1539,Mid-Low
202,49,1,153.12,156.21573,Low
203,12,1,739.1999999999999,799.4202,Mid-High
204,69,2,127.09,250.22925,Low
205,50,1,1579.51,1647.641,High
206,68,3,375.6166666666666,1130.7604,Mid-High
207,13,5,419.908,2100.503,High
208,42,1,1193.32,1186.2253,Mid-High
209,64,1,704.0400000000001,694.58453,Mid-High
210,47,5,668.876,3342.124,High
211,268,1,315.6,316.99158,Mid-Low
212,27,3,622.78,1747.1621,High
213,85,2,356.65,725.8058,Mid-High
214,19,1,355.53,349.7113,Mid-Low
215,12,1,177.31,180.18858,Low
216,6,9,404.5822222222222,3556.5793,High
217,5,3,446.47,1346.1144,Mid-High
218,14,19,657.9721052631579,12584.208,High
219,222,1,180.1,183.2977,Low
220,266,1,305.1,304.21854,Low
221,96,2,320.565,637.36505,Mid-Low
222,202,2,1341.91,2719.4744,High
223,13,9,735.6088888888888,6610.9,High
224,1,7,639.79,4456.3545,High
225,23,2,285.605,576.3031,Mid-Low
226,34,1,701.79,694.58453,Mid-High
227,47,1,640.5,645.0917,Mid-Low
228,49,4,540.995,2235.052,High
229,80,2,844.59,1672.4474,High
230,57,8,752.7375,6075.58,High
231,23,1,671.69,657.31915,Mid-High
232,229,1,486.1,488.37302,Mid-Low
233,14,3,391.52666666666664,1149.8079,Mid-High
234,105,1,185.9,189.45592,Low
235,15,3,337.75333333333333,1016.8786,Mid-High
236,118,6,557.4399999999999,3268.2483,High
237,120,1,477.91,481.71313,Mid-Low
238,24,4,443.795,1740.029,High
239,39,1,731.6899999999999,769.8026,Mid-High
240,12,12,310.235,3680.8655,High
241,145,1,318.05,316.99158,Mid-Low
242,97,3,207.83666666666667,628.54895,Mid-Low
243,325,1,114.0,108.9808,Low
244,321,1,919.98,919.0458,Mid-High
245,139,2,1104.925,2197.3223,High
246,1,5,120.396,594.6856,Mid-Low
247,7,5,810.234,4021.2302,High
248,1,4,410.795,1632.4457,High
249,9,1,686.05,666.5226,Mid-High
250,20,1,91.68,91.08618,Low
251,1,1,245.1,231.25455,Low
252,13,10,362.483,3654.6191,High
253,6,8,498.985,3997.3208,High
254,315,1,63.0,59.472668,Low
255,48,1,620.13,627.0971,Mid-Low
256,2,4,951.7875,3639.9587,High
257,141,3,914.6766666666666,2732.3276,High
258,19,4,574.9825,2296.8293,High
259,320,1,225.89999999999998,222.09343,Low
260,317,1,220.9,219.82018,Low
261,29,4,492.65,1954.7308,High
262,15,6,221.89833333333334,1323.5256,Mid-High
263,32,12,1469.0383333333332,18582.756,High
264,49,4,278.255,1130.2189,Mid-High
265,63,3,204.45333333333335,604.08386,Mid-Low
266,5,22,626.7063636363637,13578.169,High
267,4,29,384.29758620689654,11186.485,High
268,40,13,590.6992307692308,7727.66,High
269,15,6,350.705,2104.072,High
270,18,6,477.18,2742.9248,High
271,362,1,89.14,93.54792,Low
272,104,1,4873.8099999999995,4855.006,High
273,16,2,623.805,1248.7383,Mid-High
274,196,1,389.01,387.673,Mid-Low
275,18,6,172.63333333333333,1051.362,Mid-High
276,117,4,213.9775,846.4227,Mid-High
277,60,2,434.835,877.2105,Mid-High
278,56,3,165.66666666666666,479.96268,Mid-Low
279,19,3,319.19666666666666,940.0607,Mid-High
280,56,3,1208.4133333333332,3623.6345,High
281,70,2,398.855,774.364,Mid-High
282,10,1,219.0,220.04472,Low
283,61,1,283.55,289.4053,Low
284,12,7,306.01142857142855,2100.3223,High
285,5,9,763.1433333333333,6817.08,High
286,282,1,603.42,601.846,Mid-Low
287,20,10,271.291,2762.4434,High
288,5,15,649.1013333333334,9730.6045,High
289,87,3,383.00666666666666,1147.2909,Mid-High
290,19,13,338.1638461538462,4252.1113,High
291,97,4,847.425,3357.0544,High
292,96,1,353.86,353.84598,Mid-Low
293,123,1,677.9,663.7938,Mid-High
294,141,2,515.49,1032.1089,Mid-High
295,61,1,238.25,239.0522,Low
296,55,1,283.6,289.4053,Low
297,5,24,224.96916666666667,5606.733,High
298,22,6,442.68833333333333,2731.4104,High
299,75,4,249.4075,1022.99866,Mid-High
300,6,4,161.9475,672.9053,Mid-High
301,72,3,274.39000000000004,809.2022,Mid-High
302,361,1,427.8,430.37064,Mid-Low
303,18,7,372.7285714285714,2534.6238,High
304,1,7,568.6714285714286,4036.9673,High
305,61,4,209.0825,837.40857,Mid-High
306,104,1,453.01,455.24072,Mid-Low
307,14,12,1574.6591666666666,18919.518,High
308,170,1,236.26000000000002,238.49579,Low
309,224,1,383.95,385.752,Mid-Low
310,343,1,110.39999999999999,107.22698,Low
311,305,2,389.78499999999997,799.3671,Mid-High
312,323,1,234.0,238.49579,Low
313,362,1,155.35,158.08684,Low
314,68,2,506.52,1004.31866,Mid-High
315,54,1,427.6,430.92706,Mid-Low
316,124,2,273.215,563.6385,Mid-Low
317,42,7,3039.8985714285714,21253.887,High
318,12,10,375.751,3956.5522,High
319,1,195,164.32497435897434,32045.004,High
320,13,4,831.955,3296.0,High
321,119,1,275.88,284.74832,Low
322,71,1,4366.78,4438.4697,High
323,13,6,3571.565,21407.285,High
324,226,3,1003.5799999999999,3041.644,High
325,271,2,1905.975,3629.4866,High
326,77,1,112.07999999999998,108.49642,Low
327,6,13,604.3923076923077,7815.5884,High
328,107,2,1395.795,2801.1682,High
329,42,3,510.48,1507.7263,Mid-High
330,15,1,461.59,453.92215,Mid-Low
331,128,2,247.04,496.886,Mid-Low
332,307,1,1693.88,1593.0911,Mid-High
333,48,6,1045.2,6246.9395,High
334,229,1,1143.6,1133.8691,Mid-High
335,201,1,1351.45,1346.101,Mid-High
336,50,1,892.47,894.4396,Mid-High
337,7,5,277.20799999999997,1361.3613,Mid-High
338,10,6,137.03833333333333,865.88544,Mid-High
339,28,8,497.67,4033.6497,High
340,54,2,413.37,766.1534,Mid-High
341,140,4,519.6675,2117.7922,High
342,23,5,365.066,1824.1572,High
343,5,1,518.42,517.9509,Mid-Low
344,354,1,311.95,320.10324,Mid-Low
345,82,2,172.32999999999998,321.48782,Mid-Low
346,55,1,91.85,99.256775,Low
347,182,1,324.92,327.7069,Mid-Low
348,364,1,192.60000000000002,192.68239,Low
349,247,1,400.53999999999996,428.41812,Mid-Low
350,325,2,272.74,563.6385,Mid-Low
351,43,2,430.205,870.5617,Mid-High
352,9,1,430.48,428.8633,Mid-Low
353,356,1,254.03,251.89325,Low
354,34,2,1662.72,3367.3718,High
355,177,1,427.58,430.37064,Mid-Low
356,27,3,161.21666666666667,485.99203,Mid-Low
357,168,1,489.31,488.37302,Mid-Low
358,251,3,171.61666666666667,485.31696,Mid-Low
359,35,1,229.64000000000001,224.11104,Low
360,92,1,125.92,121.60205,Low
361,138,2,531.73,1071.1542,Mid-High
362,86,2,286.1,578.34424,Mid-Low
363,271,1,166.04,177.02481,Low
364,252,1,1542.08,1561.7695,Mid-High
365,34,3,243.99666666666667,728.1564,Mid-High
366,204,1,92.72,98.76626,Low
367,61,2,474.44,948.8231,Mid-High
368,65,5,351.9,1792.0244,High
369,50,1,397.12,414.6533,Mid-Low
370,19,6,222.02,1319.7664,Mid-High
371,23,2,159.35,318.07162,Mid-Low
372,56,4,165.32750000000001,675.24133,Mid-High
373,327,2,146.5,303.55472,Low
374,28,6,1135.7733333333333,6922.868,High
375,252,1,215.05,210.53699,Low
376,22,2,191.515,373.0231,Mid-Low
377,135,1,417.38,417.1648,Mid-Low
378,273,1,312.38,320.10324,Mid-Low
379,49,4,653.215,2670.7407,High
380,163,1,134.1,137.42538,Low
381,24,2,341.565,699.1147,Mid-High
382,2,13,372.2330769230769,4887.5396,High
383,134,4,681.6925,2768.2522,High
384,5,23,168.3191304347826,3943.8257,High
385,60,2,559.495,1128.1229,Mid-High
386,56,8,212.7825,1678.2614,High
387,19,2,162.98000000000002,312.56207,Mid-Low
388,257,4,88.5225,351.34448,Mid-Low
389,12,1,871.54,870.39667,Mid-High
390,21,2,525.4449999999999,1064.4908,Mid-High
391,87,1,135.18,137.10522,Low
392,285,1,311.55,309.06268,Mid-Low
393,125,6,326.18333333333334,1973.3499,High
394,69,3,441.5,1339.424,Mid-High
395,363,1,38.1,38.934658,Low
396,9,5,393.366,2049.2893,High
397,201,2,553.2,1119.7941,Mid-High
398,42,1,521.2,518.39545,Mid-Low
399,128,1,147.12,151.41983,Low
400,16,2,784.115,1566.0321,Mid-High
401,273,1,559.12,551.15857,Mid-Low
402,16,7,576.6885714285714,4054.6843,High
403,176,6,267.84333333333336,1618.1638,High
404,74,2,190.32,375.76895,Mid-Low
405,317,2,299.985,598.95917,Mid-Low
406,272,1,374.0,379.24564,Mid-Low
407,133,2,171.61500000000004,320.8686,Mid-Low
408,48,2,1109.01,2204.9082,High
409,14,11,130.55545454545455,1496.2177,Mid-High
410,226,2,427.495,870.00525,Mid-High
411,35,3,191.07333333333335,565.6173,Mid-Low
412,266,1,298.0,297.16922,Low
413,24,1,471.84000000000003,470.18176,Mid-Low
414,15,4,175.8675,687.68726,Mid-High
415,78,1,309.05,309.0085,Mid-Low
416,53,3,391.74,1142.6351,Mid-High
417,58,2,689.2,1332.7756,Mid-High
418,204,2,177.06,332.3859,Mid-Low
419,14,1,380.46999999999997,388.68268,Mid-Low
420,176,3,110.33333333333333,334.63254,Mid-Low
421,21,1,188.14,188.88007,Low
422,32,2,186.4,372.75323,Mid-Low
423,195,2,108.25,217.05309,Low
424,13,25,633.4492,15820.218,High
425,255,1,138.68,137.42538,Low
426,8,2,254.79,501.96594,Mid-Low
427,2,5,583.962,2906.1885,High
428,166,2,375.0,763.9857,Mid-High
429,30,5,435.73400000000004,2186.232,High
430,13,8,384.38,3014.875,High
431,4,3,286.02000000000004,876.2203,Mid-High
432,6,4,487.1325,1965.3416,High
433,139,2,181.825,351.03308,Mid-Low
434,129,4,751.5375,2963.148,High
435,118,1,594.0,602.1385,Mid-Low
436,7,5,209.458,1041.8807,Mid-High
437,7,1,164.23,160.88036,Low
438,5,35,423.1677142857143,14422.381,High
439,151,1,405.38,420.3974,Mid-Low
440,54,1,176.97,181.05107,Low
441,78,4,233.425,918.81775,Mid-High
442,65,1,368.31,371.8807,Mid-Low
443,25,5,412.5400000000001,2057.1804,High
444,302,1,117.85,109.79598,Low
445,68,2,207.9,430.92703,Mid-Low
446,12,15,2803.730666666667,42058.883,High
447,14,3,202.51,602.0301,Mid-Low
448,17,5,363.384,1822.5658,High
449,7,4,265.975,1069.6731,Mid-High
450,5,4,376.0675,1483.4509,Mid-High
451,16,1,114.14,110.1844,Low
452,54,8,1447.725,11576.906,High
453,45,2,456.77,922.37036,Mid-High
454,121,3,227.96666666666667,676.40625,Mid-High
455,26,2,302.255,610.0077,Mid-Low
456,278,1,462.95,455.24072,Mid-Low
457,134,6,267.33166666666665,1618.1638,High
458,6,7,294.99285714285713,2071.8,High
459,21,8,520.9025,4119.8394,High
460,14,1,311.6,305.45758,Mid-Low
461,164,5,150.356,727.1549,Mid-High
462,33,3,363.3533333333333,1076.5428,Mid-High
463,7,9,438.88222222222225,3805.6348,High
464,296,1,108.07,106.42954,Low
465,15,7,435.52,3060.4932,High
466,103,1,170.54000000000002,177.02481,Low
467,8,6,240.53333333333333,1443.9154,Mid-High
468,79,1,771.91,766.15985,Mid-High
469,348,2,830.45,1666.1691,High
470,102,1,135.95,137.73798,Low
471,312,2,11.9,21.479147,Low
472,2,83,131.38385542168675,10907.87,High
473,188,1,144.8,139.51137,Low
474,202,1,738.6,768.9047,Mid-High
475,146,1,39.239999999999995,39.43236,Low
476,148,9,819.4333333333334,7370.595,High
477,20,2,186.10999999999999,369.801,Mid-Low
478,233,1,390.54,388.30847,Mid-Low
479,9,1,97.5,97.35413,Low
480,19,1,754.38,801.6161,Mid-High
481,64,2,279.35,572.2271,Mid-Low
482,282,1,535.32,538.34454,Mid-Low
483,12,13,522.6907692307693,6822.6333,High
484,21,3,136.5,417.88922,Mid-Low
485,13,2,251.88,498.96985,Mid-Low
486,13,4,103.69,377.3541,Mid-Low
487,110,2,322.735,637.0524,Mid-Low
488,75,1,211.32,204.76794,Low
489,12,4,306.7225,1219.0415,Mid-High
490,186,3,151.96,463.99362,Mid-Low
491,97,3,178.28333333333333,546.6323,Mid-Low
492,12,12,768.9841666666666,9352.467,High
493,308,1,120.94999999999999,121.28946,Low
494,96,3,49.68333333333334,122.03634,Low
495,2,18,314.21722222222223,5618.658,High
496,164,2,256.85,502.4687,Mid-Low
497,46,1,81.57,75.76505,Low
498,313,1,229.46999999999997,223.55463,Low
499,362,1,50.550000000000004,49.565735,Low
500,11,7,215.16285714285715,1525.8011,Mid-High
501,11,12,376.32,4733.4766,High
502,1,10,346.628,3535.096,High
503,43,5,669.2560000000001,3342.124,High
504,63,3,263.2966666666667,749.43854,Mid-High
505,6,28,259.91785714285714,6624.125,High
506,16,8,288.86875000000003,2262.6743,High
507,54,2,344.95,696.218,Mid-High
508,22,4,193.71,802.5547,Mid-High
509,104,6,1152.0,6897.58,High
510,13,2,330.65999999999997,652.8917,Mid-Low
511,21,3,415.8333333333333,1239.1085,Mid-High
512,1,2,399.74,788.9443,Mid-High
513,42,2,505.09,1004.31866,Mid-High
514,347,1,190.55,191.6101,Low
515,45,2,321.385,637.6089,Mid-Low
516,64,2,460.94,922.37036,Mid-High
517,128,3,293.69,877.1153,Mid-High
518,70,3,302.82,908.89343,Mid-High
519,23,1,303.25,307.33228,Mid-Low
520,263,1,516.42,523.4089,Mid-Low
521,281,1,560.47,551.15857,Mid-Low
522,89,1,305.28000000000003,304.75793,Low
523,21,2,314.655,629.64136,Mid-Low
524,22,10,323.754,3229.2097,High
525,4,4,458.9775,1844.8798,High
526,54,2,328.34000000000003,655.03485,Mid-Low
527,5,17,343.3447058823529,5377.684,High
528,202,1,348.15000000000003,338.17435,Mid-Low
529,68,3,404.80333333333334,1217.6069,Mid-High
530,15,3,90.46666666666668,284.88885,Low
531,240,1,183.4,186.13237,Low
532,244,1,307.53,307.10635,Mid-Low
533,62,1,248.61,246.86691,Low
534,181,1,346.98,338.17435,Mid-Low
535,3,4,279.8725,1136.1666,Mid-High
536,363,1,205.86,202.56818,Low
537,14,2,235.4,484.7184,Mid-Low
538,72,1,115.46000000000001,110.2865,Low
539,310,1,165.0,160.5327,Low
540,4,23,180.6904347826087,4117.847,High
541,182,1,228.8,223.55463,Low
542,257,1,177.15,180.56056,Low
543,120,1,919.61,919.0458,Mid-High
544,280,3,192.48000000000002,565.1268,Mid-Low
545,7,24,472.66625,11338.331,High
546,12,4,47.525000000000006,192.33127,Low
547,169,1,58.08,55.96367,Low
548,2,11,2576.1254545454544,28331.732,High
549,116,9,401.51444444444445,3576.7617,High
550,66,1,192.39,192.54062,Low
551,148,2,208.04000000000002,430.3706,Mid-Low
552,1,93,582.1958064516128,54149.81,High
553,10,13,658.1107692307693,8558.895,High
554,18,1,345.82,335.7455,Mid-Low
555,61,5,95.566,529.60394,Mid-Low
556,266,8,979.05875,7815.317,High
557,11,12,160.61,1925.6766,High
558,61,1,74.39999999999999,71.05849,Low
559,23,10,601.042,5990.228,High
560,11,24,1066.0508333333335,25548.174,High
561,89,1,207.35999999999999,203.97762,Low
562,224,1,101.19,102.15791,Low
563,13,22,269.18,5929.7495,High
564,30,1,243.94,242.4331,Low
565,37,5,151.8,727.64545,Mid-High
566,123,1,76.5,71.521126,Low
567,34,4,382.90500000000003,1505.9084,Mid-High
568,363,1,350.06,351.07867,Mid-Low
569,50,2,393.27,778.7431,Mid-High
570,21,7,212.66714285714286,1519.2893,Mid-High
571,5,23,517.6852173913044,11912.577,High
572,2,4,573.695,2283.141,High
573,128,1,501.14,499.29657,Mid-Low
574,12,8,123.11375,962.51843,Mid-High
575,10,5,239.56199999999998,1225.5419,Mid-High
576,229,1,30.599999999999998,31.400103,Low
577,259,1,283.73,288.84888,Low
578,84,2,461.195,922.4991,Mid-High
579,80,3,1288.7766666666666,3761.466,High
580,35,7,247.17142857142858,1729.4231,High
581,68,1,259.17,252.44966,Low
582,84,1,64.0,68.33404,Low
583,13,3,357.76666666666665,1069.2805,Mid-High
584,252,1,77.3,71.521126,Low
585,264,2,54.9,102.64454,Low
586,76,4,448.395,1758.8079,High
587,187,1,3096.0,3054.5222,High
588,46,5,521.522,2651.1987,High
589,1,8,456.30125,3401.7595,High
590,12,6,160.39833333333334,1024.5127,Mid-High
591,6,7,723.5628571428571,5250.6147,High
592,98,3,141.24,422.66718,Mid-Low
593,75,5,477.75,2306.8594,High
594,9,1,307.09,305.07272,Mid-Low
595,323,1,110.95,107.22698,Low
596,30,4,154.63,583.7783,Mid-Low
597,16,1,228.91,224.82411,Low
598,21,3,158.4,477.34552,Mid-Low
599,19,12,308.9266666666667,3752.331,High
600,4,4,419.015,1649.0632,High
601,286,1,1257.8700000000001,1248.5289,Mid-High
602,23,4,242.94,1001.5752,Mid-High
603,39,4,435.305,1720.7216,High
604,85,4,300.265,1213.2644,Mid-High
605,40,3,385.09666666666664,1153.0559,Mid-High
606,12,1,91.8,97.67214,Low
607,303,1,112.75,107.877205,Low
608,112,4,422.0725,1666.5972,High
609,36,2,510.74,1010.6413,Mid-High
610,273,1,417.2,417.1648,Mid-Low
611,9,4,197.8325,797.2837,Mid-High
612,26,4,329.7975,1307.0996,Mid-High
613,54,2,356.44,725.67706,Mid-High
614,17,1,116.00999999999999,107.33424,Low
615,12,3,156.13666666666668,467.93738,Mid-Low
616,357,1,165.94,160.5327,Low
617,6,3,939.0100000000001,2948.2158,High
618,36,1,492.84,491.32718,Mid-Low
619,55,1,282.45,289.4053,Low
620,16,11,520.4972727272727,5655.146,High
621,35,1,121.18,121.779976,Low
622,27,8,441.09000000000003,3468.68,High
623,5,10,170.129,1678.9758,High
624,258,1,71.4,67.71482,Low
625,30,3,525.2966666666667,1568.0323,Mid-High
626,327,1,236.02,238.49579,Low
627,1,1,114.60000000000001,112.15048,Low
628,9,2,130.34,254.14743,Low
629,85,2,455.97,922.4991,Mid-High
630,51,1,117.88,110.2865,Low
631,126,1,60.7,59.472668,Low
632,1,4,449.445,1789.9603,High
633,111,5,601.836,3180.6772,High
634,5,34,263.24411764705883,8954.287,High
635,9,4,217.5225,849.4149,Mid-High
636,29,3,235.41333333333333,710.2102,Mid-High
637,5,2,125.13000000000001,252.03726,Low
638,49,6,203.98333333333335,1198.1633,Mid-High
639,20,8,736.45125,5978.0664,High
640,84,1,353.48,354.2185,Mid-Low
641,85,2,443.32,887.7288,Mid-High
642,10,3,262.6933333333333,752.8662,Mid-High
643,47,5,304.116,1522.549,Mid-High
644,258,1,333.74,331.7072,Mid-Low
645,112,3,177.99333333333334,543.98096,Mid-Low
646,117,1,62.63999999999999,59.472668,Low
647,68,4,204.82250000000002,827.97217,Mid-High
648,230,2,423.705,870.00525,Mid-High
649,190,2,81.60000000000001,163.74745,Low
650,50,2,1077.975,2184.5293,High
651,50,6,850.1066666666667,5110.9575,High
652,263,1,108.21000000000001,106.42954,Low
653,192,1,257.7,251.89325,Low
654,71,1,358.0,354.0898,Mid-Low
655,216,1,160.95,160.5327,Low
656,19,13,185.3623076923077,2413.6711,High
657,3,7,193.94285714285712,1337.7767,Mid-High
658,64,2,302.56,607.4504,Mid-Low
659,202,1,1031.07,1030.1694,Mid-High
660,15,2,372.425,752.21173,Mid-High
